episode,total_reward
1,-664.5578494481742
2,-1504.0845056772232
3,-1381.3017598465085
4,-1455.4635692760348
5,-1503.0272846519947
6,-1504.1112865656614
7,-1503.0235942453146
8,-1242.2641352638602
9,-793.7835592478514
10,-954.3104837015271
11,-681.9625649228692
12,-797.0480852201581
13,-765.2592342272401
14,-749.0124429762363
15,-731.9388836398721
16,-686.283733278513
17,-740.6888738796115
18,-754.5746177434921
19,-797.4908747822046
20,-834.6942952871323
21,-1303.3608358427882
22,-676.0811423361301
23,-641.9283038973808
24,-660.4690286368132
25,-631.1383951604366
26,-601.1673068404198
27,-1001.780755519867
28,-1246.9824736639857
29,-640.2178151011467
30,-613.5649369955063
31,-606.988712400198
32,-616.7902203798294
33,-591.8949810862541
34,-577.2029448747635
35,-604.7711478769779
36,-583.613881289959
37,-610.2906021177769
38,-609.0930299162865
39,-678.5185020267963
40,-1235.2272405996919
41,-794.3175308704376
42,-1244.1013607233763
43,-681.2453498542309
44,-641.3865366280079
45,-879.153661429882
46,-958.904994815588
47,-894.0923081561923
48,-834.8286416828632
49,-892.3894749507308
50,-480.66020607948303
51,-573.672266304493
52,-583.6701720058918
53,-584.2544696331024
54,-573.0591659545898
55,-594.1342098414898
56,-597.4399029910564
57,-614.493610739708
58,-660.7776232361794
59,-728.7143346965313
60,-1124.291960656643
61,-667.3938031196594
62,-727.4938022792339
63,-569.8010429441929
64,-586.7323227226734
65,-583.5807604491711
66,-516.6924857199192
67,-583.9880940318108
68,-575.1926580667496
69,-590.6766751408577
70,-550.1608117818832
71,-579.9013135433197
72,-587.2756255567074
73,-588.0483551025391
74,-574.3496403098106
75,-588.286966085434
76,-581.021191328764
77,-572.8330716192722
78,-557.1970341801643
79,-562.8958514034748
80,-579.8077152967453
81,-591.1437150239944
82,-591.9584054946899
83,-587.2660652697086
84,-573.419632345438
85,-601.1697340905666
86,-573.4822599887848
87,-587.3721263110638
88,-597.4100812375546
89,-578.7217205166817
90,-603.0557240843773
91,-595.4954968690872
92,-583.1047750413418
93,-489.91039395332336
94,-574.2453374862671
95,-579.2424121499062
96,-487.06359535455704
97,-561.0972964763641
98,-566.969669520855
99,-479.17248398065567
100,-567.3066837191582
101,-570.9975792169571
102,-474.68512654304504
103,-578.4562164545059
104,-731.2174636125565
105,-565.8290968835354
106,-562.0533309578896
107,-581.907973587513
108,-606.7808037996292
109,-730.2667817175388
110,-579.8521883487701
111,-584.8794223070145
112,-583.5732027888298
113,-546.0321643054485
114,-541.5476154983044
115,-590.7665761709213
116,-571.1867700219154
117,-671.5771281719208
118,-1297.7997336909175
119,-835.7896460071206
120,-637.1630926430225
121,-608.1183030605316
122,-578.0724643170834
123,-570.2710252404213
124,-580.5287489295006
125,-578.971982061863
126,-588.9680822491646
127,-579.9032745361328
128,-564.887326836586
129,-575.2764840126038
130,-587.3577106297016
131,-581.6727432012558
132,-631.983101606369
133,-573.8061191439629
134,-577.736555993557
135,-639.2188346385956
136,-572.112246453762
137,-566.5892919301987
138,-1055.230073004961
139,-616.7853010892868
140,-1213.4698091968894
141,-1152.2032525837421
142,-693.1187337040901
143,-633.1585250496864
144,-788.2140861749649
145,-672.8092302829027
146,-789.5766031742096
147,-794.9602245688438
148,-649.1167148649693
149,-578.6959172785282
150,-584.7193811833858
151,-589.88304489851
152,-580.3315022587776
153,-571.7798304259777
154,-573.2388013601303
155,-588.9877761304379
156,-587.8934741020203
157,-598.0072194933891
158,-574.7186808586121
159,-580.588450551033
160,-575.5408718585968
161,-577.6659011244774
162,-581.5724357962608
163,-589.9665425419807
164,-588.7350087463856
165,-592.4251349270344
166,-567.5202061235905
167,-574.0450477004051
168,-590.8732500076294
169,-600.5406793653965
170,-592.0369319915771
171,-565.9612241387367
172,-588.4519289433956
173,-574.6154571175575
174,-593.216007322073
175,-850.8783536851406
176,-599.8329578340054
177,-594.0516530275345
178,-579.2008778750896
179,-578.2746410667896
180,-586.1452375352383
181,-595.0782337486744
182,-588.361278295517
183,-580.6189422011375
184,-594.2865509390831
185,-569.7546120285988
186,-498.0825747847557
187,-512.5067399442196
188,-556.1718791425228
189,-564.2306156158447
190,-581.5631819367409
191,-585.2284055650234
192,-541.5280609726906
193,-552.1774907708168
194,-523.2509723901749
195,-563.7558667063713
196,-593.945458471775
197,-574.3964778780937
198,-576.5441205501556
199,-580.187626183033
200,-575.7117503881454
201,-587.3173843026161
202,-547.7677747607231
